Language,Error Type,Message,File Path,Code
cpp,compile_error,"Line 18: Char 23: error: no matching function for call to 'max'
   18 |             maxFreq = max(maxFreq, right - left + 1);
      |                       ^~~
/usr/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/bits/algorithmfwd.h:407:5: note: candidate template ignored: deduced conflicting types for parameter '_Tp' ('long long' vs. 'int')
  398 |     max(const _Tp&, const _Tp&);
      |     ^
/usr/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/bits/stl_algo.h:3467:5: note: candidate template ignored: could not match 'initializer_list<_Tp>' against 'long long'
 3458 |     max(initializer_list<_Tp> __l, _Compare __comp)
      |     ^
/usr/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/bits/stl_algo.h:3461:5: note: candidate function template not viable: requires single argument '__l', but 2 arguments were provided
 3452 |     max(initializer_list<_Tp> __l)
      |     ^   ~~~~~~~~~~~~~~~~~~~~~~~~~
/usr/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/bits/algorithmfwd.h:412:5: note: candidate function template not viable: requires 3 arguments, but 2 were provided
  403 |     max(const _Tp&, const _Tp&, _Compare);
      |     ^   ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
1 error generated.",../questions/Hard\apply-operations-to-maximize-frequency-score\responses\C++\response_cpp_2_failed.json,"#include <vector>
#include <algorithm>

using namespace std;

class Solution {
public:
    int maxFrequencyScore(vector<int>& nums, long long k) {
        sort(nums.begin(), nums.end());
        long long maxFreq = 1, windowSum = 0;
        int left = 0;
        for (int right = 0; right < nums.size(); ++right) {
            windowSum += nums[right];
            while ((right - left + 1) * nums[right] - windowSum > k) {
                windowSum -= nums[left];
                ++left;
            }
            maxFreq = max(maxFreq, right - left + 1);
        }
        return maxFreq;
    }
};"
cpp,compile_error,"Line 16: Char 45: error: variable 'find' declared with deduced type 'auto' cannot appear in its own initializer
   16 |             if (parent[x] != x) parent[x] = find(parent[x]);
      |                                             ^
1 error generated.",../questions/Hard\greatest-common-divisor-traversal\responses\C++\response_cpp_0_failed.json,"#include <vector>
#include <numeric>
#include <unordered_map>
#include <unordered_set>

using namespace std;

class Solution {
public:
    bool canTraverseAllPairs(vector<int>& nums) {
        int n = nums.size();
        vector<int> parent(n);
        for (int i = 0; i < n; ++i) parent[i] = i;

        auto find = [&](int x) {
            if (parent[x] != x) parent[x] = find(parent[x]);
            return parent[x];
        };

        auto unite = [&](int x, int y) {
            x = find(x);
            y = find(y);
            if (x != y) {
                parent[x] = y;
            }
        };

        unordered_map<int, vector<int>> factors;
        for (int i = 0; i < n; ++i) {
            for (int j = 2; j * j <= nums[i]; ++j) {
                if (nums[i] % j == 0) {
                    factors[j].push_back(i);
                    while (nums[i] % j == 0) nums[i] /= j;
                }
            }
            if (nums[i] > 1) factors[nums[i]].push_back(i);
        }

        for (auto& [factor, indices] : factors) {
            for (int i = 1; i < indices.size(); ++i) {
                unite(indices[i], indices[i - 1]);
            }
        }

        int representative = find(0);
        for (int i = 1; i < n; ++i) {
            if (find(i) != representative) return false;
        }
        return true;
    }
};"
cpp,compile_error,"Line 13: Char 23: error: no matching function for call to 'min'
   13 |             left[i] = std::min(maxHeights[i], left[i - 1]);
      |                       ^~~~~~~~
/usr/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/bits/algorithmfwd.h:420:5: note: candidate template ignored: deduced conflicting types for parameter '_Tp' ('value_type' (aka 'int') vs. 'value_type' (aka 'long long'))
  411 |     min(const _Tp&, const _Tp&);
      |     ^
/usr/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/bits/stl_algo.h:3455:5: note: candidate template ignored: could not match 'initializer_list<_Tp>' against 'value_type' (aka 'int')
 3446 |     min(initializer_list<_Tp> __l, _Compare __comp)
      |     ^
/usr/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/bits/stl_algo.h:3449:5: note: candidate function template not viable: requires single argument '__l', but 2 arguments were provided
 3440 |     min(initializer_list<_Tp> __l)
      |     ^   ~~~~~~~~~~~~~~~~~~~~~~~~~
/usr/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/bits/algorithmfwd.h:425:5: note: candidate function template not viable: requires 3 arguments, but 2 were provided
  416 |     min(const _Tp&, const _Tp&, _Compare);
      |     ^   ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~",../questions/Medium\beautiful-towers-i\responses\C++\response_cpp_2_failed.json,"#include <vector>
#include <algorithm>

class Solution {
public:
    long long maximumSumOfHeights(vector<int>& maxHeights) {
        int n = maxHeights.size();
        vector<long long> left(n, 0), right(n, 0);
        
        // Compute maximum heights descending to the left
        left[0] = maxHeights[0];
        for (int i = 1; i < n; ++i) {
            left[i] = std::min(maxHeights[i], left[i - 1]);
        }

        // Compute maximum heights descending to the right
        right[n - 1] = maxHeights[n - 1];
        for (int i = n - 2; i >= 0; --i) {
            right[i] = std::min(maxHeights[i], right[i + 1]);
        }

        long long maxSum = 0;

        // Calculate the maximum sum for each possible peak
        for (int peak = 0; peak < n; ++peak) {
            long long sum = 0;
            long long peakHeight = maxHeights[peak];
            
            // Sum to the left of the peak
            for (int i = 0; i <= peak; ++i) {
                long long height = std::min(peakHeight, left[i]);
                sum += height;
                peakHeight = std::max(1LL, peakHeight - 1); // Ensure non-increasing
            }

            peakHeight = maxHeights[peak];
            // Sum to the right of the peak, excluding the peak itself
            for (int i = n - 1; i > peak; --i) {
                long long height = std::min(peakHeight, right[i]);
                sum += height;
                peakHeight = std::max(1LL, peakHeight - 1); // Ensure non-increasing
            }

            maxSum = std::max(maxSum, sum);
        }

        return maxSum;
    }
};"
cpp,compile_error,"Line 5: Char 21: error: no matching constructor for initialization of 'vector<int>'
    5 |         vector<int> overlap(words.size(), vector<int>(words.size(), 0));
      |                     ^       ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
/usr/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/bits/stl_vector.h:510:7: note: candidate constructor not viable: no known conversion from 'vector<int>' to 'const allocator_type' (aka 'const std::allocator<int>') for 2nd argument
  501 |       vector(size_type __n, const allocator_type& __a = allocator_type())
      |       ^                     ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
/usr/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/bits/stl_vector.h:522:7: note: candidate constructor not viable: no known conversion from 'vector<int>' to 'const value_type' (aka 'const int') for 2nd argument
  513 |       vector(size_type __n, const value_type& __value,
      |       ^                     ~~~~~~~~~~~~~~~~~~~~~~~~~
/usr/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/bits/stl_vector.h:575:7: note: candidate constructor not viable: no known conversion from 'size_type' (aka 'unsigned long') to 'const vector<int>' for 1st argument
  566 |       vector(const vector& __x, const allocator_type& __a)
      |       ^      ~~~~~~~~~~~~~~~~~
/usr/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/bits/stl_vector.h:607:7: note: candidate constructor not viable: no known conversion from 'size_type' (aka 'unsigned long') to 'vector<int>' for 1st argument
  598 |       vector(vector&& __rv, const allocator_type& __m)
      |       ^      ~~~~~~~~~~~~~
/usr/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/bits/stl_vector.h:625:7: note: candidate constructor not viable: no known conversion from 'size_type' (aka 'unsigned long') to 'initializer_list<value_type>' (aka 'initializer_list<int>') for 1st argument
  616 |       vector(initializer_list<value_type> __l,
      |       ^      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
/usr/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/bits/stl_vector.h:653:2: note: candidate template ignored: deduced conflicting types for parameter '_InputIterator' ('size_type' (aka 'unsigned long') vs. 'vector<int>')
  644 |         vector(_InputIterator __first, _InputIterator __last,
      |         ^
/usr/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/bits/stl_vector.h:497:7: note: candidate constructor not viable: requires single argument '__a', but 2 arguments were provided
  488 |       vector(const allocator_type& __a) _GLIBCXX_NOEXCEPT
      |       ^      ~~~~~~~~~~~~~~~~~~~~~~~~~
/usr/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/bits/stl_vector.h:553:7: note: candidate constructor not viable: requires single argument '__x', but 2 arguments were provided
  544 |       vector(const vector& __x)
      |       ^      ~~~~~~~~~~~~~~~~~
/usr/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/bits/stl_vector.h:572:7: note: candidate constructor not viable: requires 1 argument, but 2 were provided
  563 |       vector(vector&&) noexcept = default;
      |       ^      ~~~~~~~~
/usr/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/bits/stl_vector.h:585:7: note: candidate constructor not viable: requires 3 arguments, but 2 were provided
  576 |       vector(vector&& __rv, const allocator_type& __m, true_type) noexcept
      |       ^      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
/usr/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/bits/stl_vector.h:589:7: note: candidate constructor not viable: requires 3 arguments, but 2 were provided
  580 |       vector(vector&& __rv, const allocator_type& __m, false_type)
      |       ^      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
/usr/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/bits/stl_vector.h:487:7: note: candidate constructor not viable: requires 0 arguments, but 2 were provided
  478 |       vector() = default;
      |       ^",../questions/Medium\decremental-string-concatenation\responses\C++\response_cpp_1_failed.json,"class Solution {
public:
    int minimizeConcatenatedLength(vector<string>& words) {
        vector<vector<int>> dp(1 << words.size(), vector<int>(words.size(), INT_MAX));
        vector<int> overlap(words.size(), vector<int>(words.size(), 0));
        for (int i = 0; i < words.size(); ++i) {
            for (int j = 0; j < words.size(); ++j) {
                if (i != j) {
                    for (int k = min(words[i].size(), words[j].size()); k > 0; --k) {
                        if (words[i].substr(words[i].size() - k) == words[j].substr(0, k)) {
                            overlap[i][j] = k;
                            break;
                        }
                    }
                }
            }
        }
        for (int i = 0; i < words.size(); ++i) {
            dp[1 << i][i] = words[i].length();
        }
        for (int mask = 1; mask < (1 << words.size()); ++mask) {
            for (int j = 0; j < words.size(); ++j) {
                if (mask & (1 << j)) {
                    for (int k = 0; k < words.size(); ++k) {
                        if (j != k && (mask & (1 << k))) {
                            int prevMask = mask ^ (1 << j);
                            dp[mask][j] = min(dp[mask][j], dp[prevMask][k] + (int)words[j].length() - overlap[k][j]);
                        }
                    }
                }
            }
        }
        int result = INT_MAX;
        for (int i = 0; i < words.size(); ++i) {
            result = min(result, dp[(1 << words.size()) - 1][i]);
        }
        return result;
    }
};"
cpp,compile_error,"Line 11: Char 58: error: invalid operands to binary expression ('typename __gnu_cxx::__promote_2<long long, long long>::__type' (aka 'double') and 'long long')
   11 |             if (pow(static_cast<long long>(a*b % 10), c) % m == target) {
      |                 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ ^ ~
1 error generated.",../questions/Medium\double-modular-exponentiation\responses\C++\response_cpp_0_failed.json,"#include <vector>
using namespace std;

class Solution {
public:
    vector<int> getGoodIndices(vector<vector<int>>& variables, int target) {
        vector<int> goodIndices;
        for (int i = 0; i < variables.size(); ++i) {
            auto& v = variables[i];
            long long a = v[0], b = v[1], c = v[2], m = v[3];
            if (pow(static_cast<long long>(a*b % 10), c) % m == target) {
                goodIndices.push_back(i);
            }
        }
        return goodIndices;
    }
};"
cpp,compile_error,"Line 11: Char 34: error: expected ';' after return statement
   11 |                 return {words[i]} + getWordsInLongestSubsequence(n, words, dp, parent[i], groups[parent[i]], groups, parent);
      |                                  ^
      |                                  ;",../questions/Medium\longest-unequal-adjacent-groups-subsequence-ii\responses\C++\response_cpp_0_failed.json,"#include <vector>
#include <string>
using namespace std;

class Solution {
public:
    vector<string> getWordsInLongestSubsequence(int n, vector<string>& words, vector<vector<int>>& dp, int i, int prevGroup, vector<int>& groups, vector<int>& parent) {
        if (i == n) return {};
        if (dp[i][prevGroup + 1] != -1) {
            if (parent[i] != -1)
                return {words[i]} + getWordsInLongestSubsequence(n, words, dp, parent[i], groups[parent[i]], groups, parent);
            else
                return {};
        }

        // Not taking the current word
        vector<string> res1 = getWordsInLongestSubsequence(n, words, dp, i + 1, prevGroup, groups, parent);
        vector<string> res2 = {};

        // Taking the current word if it satisfies the conditions
        if (prevGroup != groups[i]) {
            for (int j = 0; j < i; ++j) {
                if (words[j].length() == words[i].length() && hammingDistance(words[j], words[i]) == 1 && groups[j] != groups[i]) {
                    vector<string> tmp = getWordsInLongestSubsequence(n, words, dp, j, groups[j], groups, parent);
                    if (tmp.size() + 1 > res2.size()) {
                        res2 = tmp;
                        res2.push_back(words[i]);
                        parent[i] = j;
                    }
                }
            }
        }

        // Choose the longer subsequence
        if (res1.size() > res2.size()) {
            dp[i][prevGroup + 1] = res1.size();
            return res1;
        } else {
            dp[i][prevGroup + 1] = res2.size();
            return res2;
        }
    }

    int hammingDistance(const string& a, const string& b) {
        int count = 0;
        for (int i = 0; i < a.length(); ++i) {
            if (a[i] != b[i]) ++count;
        }
        return count;
    }

    vector<string> getWordsInLongestSubsequence(int n, vector<string>& words, vector<int>& groups) {
        vector<vector<int>> dp(n, vector<int>(n + 1, -1));
        vector<int> parent(n, -1);
        return getWordsInLongestSubsequence(n, words, dp, 0, -1, groups, parent);
    }
};"
cpp,compile_error,"Line 11: Char 33: error: variable 'prev' declared with deduced type 'auto' cannot appear in its own initializer
   11 |                     auto prev = prev(it);
      |                                 ^",../questions/Medium\make-lexicographically-smallest-array-by-swapping-elements\responses\C++\response_cpp_0_failed.json,"class Solution {
public:
    vector<int> lexicographicallySmallestArray(vector<int>& nums, int limit) {
        int n = nums.size();
        multiset<int> window;
        for (int i = 0; i < n; ++i) {
            window.insert(nums[i]);
            if (i > 0) {
                auto it = window.lower_bound(nums[i]);
                if (it != window.begin()) {
                    auto prev = prev(it);
                    if (*it - *prev <= limit) {
                        nums[i] = *prev;
                        nums[i - 1] = *it;
                        window.erase(window.find(*prev));
                        window.insert(nums[i - 1]);
                    }
                }
            }
        }
        for (int i = 0; i < n - 1; ++i) {
            auto it = window.lower_bound(nums[i]);
            auto next = next(it);
            if (next != window.end() && *next - nums[i] <= limit) {
                for (int j = i + 1; j < n; ++j) {
                    if (nums[j] == *next) {
                        swap(nums[i], nums[j]);
                        break;
                    }
                }
            }
        }
        return nums;
    }
};"
cpp,compile_error,"Line 26: Char 53: error: no matching function for call to 'min'
   26 |                         dist = max(0LL, dist - 2 * (min(d, meetTime) - meetTime));
      |                                                     ^~~
/usr/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/bits/algorithmfwd.h:420:5: note: candidate template ignored: deduced conflicting types for parameter '_Tp' ('int' vs. 'long long')
  411 |     min(const _Tp&, const _Tp&);
      |     ^
/usr/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/bits/stl_algo.h:3455:5: note: candidate template ignored: could not match 'initializer_list<_Tp>' against 'int'
 3446 |     min(initializer_list<_Tp> __l, _Compare __comp)
      |     ^
/usr/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/bits/stl_algo.h:3449:5: note: candidate function template not viable: requires single argument '__l', but 2 arguments were provided
 3440 |     min(initializer_list<_Tp> __l)
      |     ^   ~~~~~~~~~~~~~~~~~~~~~~~~~
/usr/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/bits/algorithmfwd.h:425:5: note: candidate function template not viable: requires 3 arguments, but 2 were provided
  416 |     min(const _Tp&, const _Tp&, _Compare);
      |     ^   ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
1 error generated.",../questions/Medium\movement-of-robots\responses\C++\response_cpp_0_failed.json,"#include <vector>
#include <string>
#include <algorithm>

using namespace std;

class Solution {
public:
    int sumDistance(vector<int>& nums, string s, int d) {
        const int mod = 1e9 + 7;
        vector<pair<int, char>> robots;
        for (int i = 0; i < nums.size(); ++i) {
            robots.emplace_back(nums[i], s[i]);
        }
        // Sort the robots based on their initial positions
        sort(robots.begin(), robots.end());

        long long totalDistance = 0;
        for (int i = 0; i < robots.size(); ++i) {
            for (int j = i + 1; j < robots.size(); ++j) {
                long long dist = robots[j].first - robots[i].first;
                // If robots are moving towards each other
                if (robots[i].second == 'R' && robots[j].second == 'L') {
                    long long meetTime = dist / 2; // Time when they meet and change directions
                    if (d >= meetTime) {
                        dist = max(0LL, dist - 2 * (min(d, meetTime) - meetTime));
                    }
                }
                totalDistance = (totalDistance + dist) % mod;
            }
        }
        return totalDistance;
    }
};"
cpp,runtime_error,"=================================================================
==22==ERROR: AddressSanitizer: heap-buffer-overflow on address 0x5020000000a0 at pc 0x562d7d94ffca bp 0x7fff47eaa950 sp 0x7fff47eaa948
READ of size 4 at 0x5020000000a0 thread T0
    #2 0x7f662cca5d8f  (/lib/x86_64-linux-gnu/libc.so.6+0x29d8f) (BuildId: c289da5071a3399de893d2af81d6a30c62646e1e)
    #3 0x7f662cca5e3f  (/lib/x86_64-linux-gnu/libc.so.6+0x29e3f) (BuildId: c289da5071a3399de893d2af81d6a30c62646e1e)
0x5020000000a0 is located 0 bytes after 16-byte region [0x502000000090,0x5020000000a0)
allocated by thread T0 here:
    #6 0x7f662cca5d8f  (/lib/x86_64-linux-gnu/libc.so.6+0x29d8f) (BuildId: c289da5071a3399de893d2af81d6a30c62646e1e)
Shadow bytes around the buggy address:
  0x501ffffffe00: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
  0x501ffffffe80: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
  0x501fffffff00: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
  0x501fffffff80: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
  0x502000000000: fa fa fd fa fa fa fd fa fa fa fd fa fa fa fd fa
=>0x502000000080: fa fa 00 00[fa]fa fa fa fa fa fa fa fa fa fa fa
  0x502000000100: fa fa fa fa fa fa fa fa fa fa fa fa fa fa fa fa
  0x502000000180: fa fa fa fa fa fa fa fa fa fa fa fa fa fa fa fa
  0x502000000200: fa fa fa fa fa fa fa fa fa fa fa fa fa fa fa fa
  0x502000000280: fa fa fa fa fa fa fa fa fa fa fa fa fa fa fa fa
  0x502000000300: fa fa fa fa fa fa fa fa fa fa fa fa fa fa fa fa
Shadow byte legend (one shadow byte represents 8 application bytes):
  Addressable:           00
  Partially addressable: 01 02 03 04 05 06 07 
  Heap left redzone:       fa
  Freed heap region:       fd
  Stack left redzone:      f1
  Stack mid redzone:       f2
  Stack right redzone:     f3
  Stack after return:      f5
  Stack use after scope:   f8
  Global redzone:          f9
  Global init order:       f6
  Poisoned by user:        f7
  Container overflow:      fc
  Array cookie:            ac
  Intra object redzone:    bb
  ASan internal:           fe
  Left alloca redzone:     ca
  Right alloca redzone:    cb
==22==ABORTING",../questions/Easy\count-the-number-of-incremovable-subarrays-i\responses\C++\response_cpp_0_failed.json,"#include <vector>

class Solution {
public:
    int incremovableSubarrayCount(std::vector<int>& nums) {
        int count = 0;
        int n = nums.size();

        for (int i = 0; i < n; ++i) {
            for (int j = i; j < n; ++j) {
                // Check if subarray from i to j is incremovable
                if ((i == 0 || nums[i - 1] < nums[j + 1]) && (j == n - 1 || nums[i] < nums[j + 2])) {
                    count++;
                }
            }
        }

        return count;
    }
};"
cpp,runtime_error,"=================================================================
==23==ERROR: AddressSanitizer: heap-buffer-overflow on address 0x5020000000a0 at pc 0x55b032a78fd8 bp 0x7ffc16cfe060 sp 0x7ffc16cfe058
READ of size 4 at 0x5020000000a0 thread T0
    #2 0x7fb2725f7d8f  (/lib/x86_64-linux-gnu/libc.so.6+0x29d8f) (BuildId: c289da5071a3399de893d2af81d6a30c62646e1e)
    #3 0x7fb2725f7e3f  (/lib/x86_64-linux-gnu/libc.so.6+0x29e3f) (BuildId: c289da5071a3399de893d2af81d6a30c62646e1e)
0x5020000000a0 is located 0 bytes after 16-byte region [0x502000000090,0x5020000000a0)
allocated by thread T0 here:
    #6 0x7fb2725f7d8f  (/lib/x86_64-linux-gnu/libc.so.6+0x29d8f) (BuildId: c289da5071a3399de893d2af81d6a30c62646e1e)
Shadow bytes around the buggy address:
  0x501ffffffe00: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
  0x501ffffffe80: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
  0x501fffffff00: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
  0x501fffffff80: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
  0x502000000000: fa fa fd fa fa fa fd fa fa fa fd fa fa fa fd fa
=>0x502000000080: fa fa 00 00[fa]fa fa fa fa fa fa fa fa fa fa fa
  0x502000000100: fa fa fa fa fa fa fa fa fa fa fa fa fa fa fa fa
  0x502000000180: fa fa fa fa fa fa fa fa fa fa fa fa fa fa fa fa
  0x502000000200: fa fa fa fa fa fa fa fa fa fa fa fa fa fa fa fa
  0x502000000280: fa fa fa fa fa fa fa fa fa fa fa fa fa fa fa fa
  0x502000000300: fa fa fa fa fa fa fa fa fa fa fa fa fa fa fa fa
Shadow byte legend (one shadow byte represents 8 application bytes):
  Addressable:           00
  Partially addressable: 01 02 03 04 05 06 07 
  Heap left redzone:       fa
  Freed heap region:       fd
  Stack left redzone:      f1
  Stack mid redzone:       f2
  Stack right redzone:     f3
  Stack after return:      f5
  Stack use after scope:   f8
  Global redzone:          f9
  Global init order:       f6
  Poisoned by user:        f7
  Container overflow:      fc
  Array cookie:            ac
  Intra object redzone:    bb
  ASan internal:           fe
  Left alloca redzone:     ca
  Right alloca redzone:    cb
==23==ABORTING",../questions/Easy\count-the-number-of-incremovable-subarrays-i\responses\C++\response_cpp_1_failed.json,"#include <vector>

class Solution {
public:
    int incremovableSubarrayCount(std::vector<int>& nums) {
        int count = 0;
        int n = nums.size();

        for (int i = 0; i < n; ++i) {
            for (int j = i; j < n; ++j) {
                // Check if subarray from i to j is incremovable
                // Ensure that indices used to access vector elements are within bounds
                if ((i == 0 || (j + 1 < n && nums[i - 1] < nums[j + 1])) && 
                    (j == n - 1 || (i < n && nums[i] < nums[j + 2]))) {
                    count++;
                }
            }
        }

        return count;
    }
};"
