Language,Error Type,Message,File Path,Code
erlang,compile_error,"Line 4: Char 64: syntax error before: '|'
%    4|                             [unicode:characters_to_list(Word)] |> hd() |> hd()
%     |                                                                ^
Line 1: Char 2: spec for undefined function is_acronym/2
%    1| -spec is_acronym(Words :: [unicode:unicode_binary()], S :: unicode:unicode_binary()) -> boolean().
%     |  ^
Line 24: Char 13: function is_acronym/2 undefined
%   24|       Ret = is_acronym(Param_1, Param_2),
%     |             ^",../questions/Easy\check-if-a-string-is-an-acronym-of-words\responses\Erlang\response_erlang_1_failed.json,"-spec is_acronym(Words :: [unicode:unicode_binary()], S :: unicode:unicode_binary()) -> boolean().
is_acronym(Words, S) ->
    Acronym = lists:map(fun(Word) -> 
                            [unicode:characters_to_list(Word)] |> hd() |> hd()
                        end, Words),
    string:equal(lists:flatten(Acronym), unicode:characters_to_list(S))."
erlang,compile_error,"Line 9: Char 9: call to local/imported function is_symmetric/1 is illegal in guard
%    9|         is_symmetric(Current) ->
%     |         ^",../questions/Easy\count-symmetric-integers\responses\Erlang\response_erlang_0_failed.json,"-spec count_symmetric_integers(Low :: integer(), High :: integer()) -> integer().
count_symmetric_integers(Low, High) ->
    count_symmetric_integers(Low, High, 0).

count_symmetric_integers(Current, High, Count) when Current > High ->
    Count;
count_symmetric_integers(Current, High, Count) ->
    if
        is_symmetric(Current) ->
            count_symmetric_integers(Current + 1, High, Count + 1);
        true ->
            count_symmetric_integers(Current + 1, High, Count)
    end.

is_symmetric(Number) ->
    Digits = integer_to_list(Number),
    Length = length(Digits),
    if
        Length rem 2 =/= 0 ->
            false;
        true ->
            {FirstHalf, SecondHalf} = lists:split(Length div 2, Digits),
            sum_digits(FirstHalf) =:= sum_digits(SecondHalf)
    end.

sum_digits(Digits) ->
    lists:foldl(fun(Digit, Acc) -> Acc + digit_to_int(Digit) end, 0, Digits).

digit_to_int(DigitChar) ->
    erlang:byte(DigitChar) - 48."
erlang,compile_error,"Line 29: Char 13: call to local/imported function is_strictly_increasing/1 is illegal in guard
%   29|         not is_strictly_increasing(remove_subarray(Start, End, Nums)) ->
%     |             ^
Line 29: Char 36: call to local/imported function remove_subarray/3 is illegal in guard
%   29|         not is_strictly_increasing(remove_subarray(Start, End, Nums)) ->
%     |                                    ^",../questions/Easy\count-the-number-of-incremovable-subarrays-i\responses\Erlang\response_erlang_0_failed.json,"-spec is_strictly_increasing(Nums :: [integer()]) -> boolean().
is_strictly_increasing([]) -> true;
is_strictly_increasing([_]) -> true;
is_strictly_increasing([First, Second | Rest]) ->
    First < Second andalso is_strictly_increasing([Second | Rest]).

-spec remove_subarray(Start :: integer(), End :: integer(), Nums :: [integer()]) -> [integer()].
remove_subarray(Start, End, Nums) ->
    {Left, Right} = lists:split(End, Nums),
    {L, _} = lists:split(Start, Left),
    L ++ tl(Right).

-spec incremovable_subarray_count(Nums :: [integer()]) -> integer().
incremovable_subarray_count(Nums) ->
    Length = length(Nums),
    incremovable_subarray_count(Nums, Length, 0).

-spec incremovable_subarray_count(Nums :: [integer()], Length :: integer(), Count :: integer()) -> integer().
incremovable_subarray_count(Nums, Length, Count) ->
    incremovable_subarray_count(Nums, Length, Count, 0, 0).

-spec incremovable_subarray_count(Nums :: [integer()], Length :: integer(), Count :: integer(), Start :: integer(), End :: integer()) -> integer().
incremovable_subarray_count(_, Length, Count, Start, End) when Start =:= Length ->
    Count;
incremovable_subarray_count(Nums, Length, Count, Start, End) when End =:= Length ->
    incremovable_subarray_count(Nums, Length, Count, Start + 1, Start + 1);
incremovable_subarray_count(Nums, Length, Count, Start, End) ->
    NewCount = if
        not is_strictly_increasing(remove_subarray(Start, End, Nums)) ->
            Count + 1;
        true ->
            Count
    end,
    incremovable_subarray_count(Nums, Length, NewCount, Start, End + 1)."
erlang,compile_error,"Line 30: Char 13: call to local/imported function is_strictly_increasing/1 is illegal in guard
%   30|         not is_strictly_increasing(RemovedArray) ->
%     |             ^",../questions/Easy\count-the-number-of-incremovable-subarrays-i\responses\Erlang\response_erlang_1_failed.json,"-spec is_strictly_increasing(Nums :: [integer()]) -> boolean().
is_strictly_increasing([]) -> true;
is_strictly_increasing([_]) -> true;
is_strictly_increasing([First, Second | Rest]) ->
    First < Second andalso is_strictly_increasing([Second | Rest]).

-spec remove_subarray(Start :: integer(), End :: integer(), Nums :: [integer()]) -> [integer()].
remove_subarray(Start, End, Nums) ->
    {Left, Right} = lists:split(End, Nums),
    {L, _} = lists:split(Start, Left),
    L ++ tl(Right).

-spec incremovable_subarray_count(Nums :: [integer()]) -> integer().
incremovable_subarray_count(Nums) ->
    Length = length(Nums),
    incremovable_subarray_count(Nums, Length, 0).

-spec incremovable_subarray_count(Nums :: [integer()], Length :: integer(), Count :: integer()) -> integer().
incremovable_subarray_count(Nums, Length, Count) ->
    incremovable_subarray_count(Nums, Length, Count, 0, 0).

-spec incremovable_subarray_count(Nums :: [integer()], Length :: integer(), Count :: integer(), Start :: integer(), End :: integer()) -> integer().
incremovable_subarray_count(_, Length, Count, Start, _) when Start =:= Length ->
    Count;
incremovable_subarray_count(Nums, Length, Count, Start, End) when End =:= Length ->
    incremovable_subarray_count(Nums, Length, Count, Start + 1, Start + 1);
incremovable_subarray_count(Nums, Length, Count, Start, End) ->
    RemovedArray = remove_subarray(Start, End, Nums),
    NewCount = if
        not is_strictly_increasing(RemovedArray) ->
            Count + 1;
        true ->
            Count
    end,
    incremovable_subarray_count(Nums, Length, NewCount, Start, End + 1)."
erlang,compile_error,"Line 7: Char 1: head mismatch
%    7| distribute_candies(N, Limit, Child, Count) when N > 0, Child < 3 ->
%     | ^
Line 3: Char 5: function distribute_candies/4 undefined
%    3|     distribute_candies(N, Limit, 0, 0).
%     |     ^",../questions/Easy\distribute-candies-among-children-i\responses\Erlang\response_erlang_1_failed.json,"-spec distribute_candies(N :: integer(), Limit :: integer()) -> integer().
distribute_candies(N, Limit) ->
    distribute_candies(N, Limit, 0, 0).

distribute_candies(0, _, Count) ->
    Count + 1;
distribute_candies(N, Limit, Child, Count) when N > 0, Child < 3 ->
    % Count ways for each possible candy number for the current child
    NewCount = lists:foldl(fun(Candies, Acc) ->
                               distribute_candies(N - Candies, Limit, Child + 1, Acc)
                           end, Count, lists:seq(0, min(N, Limit))),
    NewCount;
distribute_candies(_, _, 3, Count) ->
    % If all children have been considered, return the current count
    Count."
erlang,compile_error,"Line 11: Char 8: illegal guard expression
%   11|     if lists:member(H, List) ->
%     |        ^",../questions/Easy\find-common-elements-between-two-arrays\responses\Erlang\response_erlang_0_failed.json,"-spec find_intersection_values(Nums1 :: [integer()], Nums2 :: [integer()]) -> [integer()].
find_intersection_values(Nums1, Nums2) ->
    UniqueNums1 = lists:usort(Nums1),
    UniqueNums2 = lists:usort(Nums2),
    Count1 = count_intersection(UniqueNums1, Nums2),
    Count2 = count_intersection(UniqueNums2, Nums1),
    [Count1, Count2].

count_intersection([], _) -> 0;
count_intersection([H|T], List) ->
    if lists:member(H, List) ->
        1 + count_intersection(T, List);
    true ->
        count_intersection(T, List)
    end."
erlang,compile_error,"Line 5: Char 1: syntax error before: CountPairs
%    5| CountPairs([], Count) ->
%     | ^
Line 3: Char 5: variable 'CountPairs' is unbound
%    3|     CountPairs(Words, 0).
%     |     ^",../questions/Easy\find-maximum-number-of-string-pairs\responses\Erlang\response_erlang_0_failed.json,"-spec maximum_number_of_string_pairs(Words :: [unicode:unicode_binary()]) -> integer().
maximum_number_of_string_pairs(Words) ->
    CountPairs(Words, 0).

CountPairs([], Count) -> 
    Count;
CountPairs([Word|Rest], Count) ->
    ReversedWord = lists:reverse(binary_to_list(Word)),
    case lists:member(ReversedWord, Rest) of
        true ->
            FilteredRest = lists:delete(ReversedWord, Rest),
            CountPairs(FilteredRest, Count + 1);
        false ->
            CountPairs(Rest, Count)
    end."
erlang,compile_error,"Line 11: Char 21: variable 'CountPairs' is unbound
%   11|                     CountPairs(Rest, Count + 1);
%     |                     ^
Line 13: Char 21: variable 'CountPairs' is unbound
%   13|                     CountPairs(Rest, Count)
%     |                     ^",../questions/Easy\find-maximum-number-of-string-pairs\responses\Erlang\response_erlang_1_failed.json,"-spec maximum_number_of_string_pairs(Words :: [unicode:unicode_binary()]) -> integer().
maximum_number_of_string_pairs(Words) ->
    CountPairs = fun
        ([], Count) -> 
            Count;
        ([Word|Rest], Count) ->
            ReversedWord = lists:reverse(binary_to_list(Word)),
            case lists:member(ReversedWord, Rest) of
                true ->
                    FilteredRest = lists:delete(ReversedWord, Rest),
                    CountPairs(Rest, Count + 1);
                false ->
                    CountPairs(Rest, Count)
            end
    end,
    CountPairs(Words, 0)."
erlang,compile_error,"Line 6: Char 12: syntax error before: 'rem'
%    6|     Next = rem(Current + K * Multiplier - 1, N) + 1,
%     |            ^
Line 3: Char 5: function circular_game_losers/5 undefined
%    3|     circular_game_losers(N, K, 1, 0, []).
%     |     ^",../questions/Easy\find-the-losers-of-the-circular-game\responses\Erlang\response_erlang_1_failed.json,"-spec circular_game_losers(N :: integer(), K :: integer()) -> [integer()].
circular_game_losers(N, K) ->
    circular_game_losers(N, K, 1, 0, []).

circular_game_losers(N, K, Current, Multiplier, Received) ->
    Next = rem(Current + K * Multiplier - 1, N) + 1,
    if 
        lists:member(Next, Received) ->
            % Find friends who never received the ball
            [X || X <- lists:seq(1, N), not lists:member(X, Received)];
        true ->
            % Continue the game
            circular_game_losers(N, K, Next, Multiplier + 1, [Next | Received])
    end."
erlang,compile_error,"Line 8: Char 12: syntax error before: 'rem'
%    8|     Next = rem((Current + K * Multiplier - 1), N) + 1,
%     |            ^
Line 3: Char 5: function circular_game_losers/5 undefined
%    3|     circular_game_losers(N, K, 1, 1, []).
%     |     ^",../questions/Easy\find-the-losers-of-the-circular-game\responses\Erlang\response_erlang_2_failed.json,"-spec circular_game_losers(N :: integer(), K :: integer()) -> [integer()].
circular_game_losers(N, K) ->
    circular_game_losers(N, K, 1, 1, []).

circular_game_losers(_N, _K, _Current, _Multiplier, Received) when length(Received) == 2 ->
    [Friend || Friend <- lists:seq(1, length(Received)), not lists:member(Friend, Received)];
circular_game_losers(N, K, Current, Multiplier, Received) ->
    Next = rem((Current + K * Multiplier - 1), N) + 1,
    NewReceived = case lists:member(Next, Received) of
        false -> [Next | Received];
        true -> Received
    end,
    circular_game_losers(N, K, Next, Multiplier + 1, NewReceived)."
