Language,Error Type,Message,File Path,Code
kotlin,compile_error,"Line 6: Char 33: error: unresolved reference. None of the following candidates is applicable because of receiver type mismatch: 
public inline fun <T, K> Array<out TypeVariable(T)>.groupingBy(crossinline keySelector: (TypeVariable(T)) -> TypeVariable(K)): Grouping<TypeVariable(T), TypeVariable(K)> defined in kotlin.collections
public inline fun <K> CharSequence.groupingBy(crossinline keySelector: (Char) -> TypeVariable(K)): Grouping<Char, TypeVariable(K)> defined in kotlin.text
public inline fun <T, K> Iterable<TypeVariable(T)>.groupingBy(crossinline keySelector: (TypeVariable(T)) -> TypeVariable(K)): Grouping<TypeVariable(T), TypeVariable(K)> defined in kotlin.collections
public inline fun <T, K> Sequence<TypeVariable(T)>.groupingBy(crossinline keySelector: (TypeVariable(T)) -> TypeVariable(K)): Grouping<TypeVariable(T), TypeVariable(K)> defined in kotlin.sequences
        val frequencyMap = nums.groupingBy { it }.eachCount()
                                ^
Line 6: Char 46: error: unresolved reference: it
        val frequencyMap = nums.groupingBy { it }.eachCount()
                                             ^",../questions/Easy\check-if-array-is-good\responses\Kotlin\response_kotlin_0_failed.json,"class Solution {
    fun isGood(nums: IntArray): Boolean {
        val n = nums.maxOrNull() ?: return false
        if (nums.size != n + 1) return false

        val frequencyMap = nums.groupingBy { it }.eachCount()

        if (frequencyMap[n] != 2) return false
        for (i in 1 until n) {
            if (frequencyMap[i] != 1) return false
        }
        
        return true
    }
}"
kotlin,compile_error,"Line 24: Char 16: error: type mismatch: inferred type is Long but Int was expected
        return (ans - if (l == 0) 1 else 0 + mod) % mod
               ^",../questions/Hard\count-of-sub-multisets-with-bounded-sum\responses\Kotlin\response_kotlin_2_failed.json,"class Solution {
    fun countSubMultisets(nums: List<Int>, l: Int, r: Int): Int {
        val mod = 1_000_000_007
        val freq = mutableMapOf<Int, Int>()
        nums.forEach { freq[it] = freq.getOrDefault(it, 0) + 1 }
        val uniqueNums = freq.keys.toIntArray()
        val dp = Array(uniqueNums.size + 1) { LongArray(r + 1) }
        for (i in 0..r) dp[0][i] = 1
        for (i in 1..uniqueNums.size) {
            val num = uniqueNums[i - 1]
            for (sum in 0..r) {
                dp[i][sum] = dp[i - 1][sum]
                var pow = 1
                for (k in 1..freq[num]!!) {
                    pow = (pow * num) % (r + 1)
                    if (sum >= pow) {
                        dp[i][sum] = (dp[i][sum] + dp[i - 1][sum - pow]) % mod
                    }
                }
            }
        }
        var ans = 0L
        for (sum in l..r) ans = (ans + dp[uniqueNums.size][sum]) % mod
        return (ans - if (l == 0) 1 else 0 + mod) % mod
    }
}"
kotlin,compile_error,"Line 14: Char 52: error: unresolved reference. None of the following candidates is applicable because of receiver type mismatch: 
local final fun BigInteger.modInc(): Unit defined in Solution.countSteppingNumbers
            if (n >= lowNum && n <= highNum) count.modInc()
                                                   ^
Line 22: Char 78: error: unresolved reference. None of the following candidates is applicable because of receiver type mismatch: 
local final fun BigInteger.modInc(): Unit defined in Solution.countSteppingNumbers
        if (lowNum <= 0.toBigInteger() && highNum >= 0.toBigInteger()) count.modInc()
                                                                             ^",../questions/Hard\count-stepping-numbers-in-range\responses\Kotlin\response_kotlin_1_failed.json,"class Solution {
    fun countSteppingNumbers(low: String, high: String): Int {
        val mod = 1000000007
        val lowNum = low.toBigInteger()
        val highNum = high.toBigInteger()
        var count = 0

        fun BigInteger.modInc() {
            count = (count + 1) % mod
        }

        fun dfs(n: BigInteger) {
            if (n > highNum) return
            if (n >= lowNum && n <= highNum) count.modInc()
            val lastDigit = n % 10.toBigInteger()
            if (n > 0.toBigInteger()) {
                if (lastDigit > 0.toBigInteger()) dfs(n * 10.toBigInteger() + lastDigit - 1.toBigInteger())
                if (lastDigit < 9.toBigInteger()) dfs(n * 10.toBigInteger() + lastDigit + 1.toBigInteger())
            }
        }

        if (lowNum <= 0.toBigInteger() && highNum >= 0.toBigInteger()) count.modInc()
        for (i in 1..9) dfs(i.toBigInteger())
        return count
    }
}"
kotlin,compile_error,"Line 33: Char 29: error: type mismatch: inferred type is Int but Long was expected
            b *= modInverse(i, mod)
                            ^",../questions/Hard\count-the-number-of-infection-sequences\responses\Kotlin\response_kotlin_2_failed.json,"class Solution {
    fun numberOfSequence(n: Int, sick: IntArray): Int {
        val mod = 1000000007
        var result = 1
        var gaps = ArrayList<Int>()

        for (i in 1 until sick.size) {
            val gap = sick[i] - sick[i - 1] - 1
            if (gap > 0) {
                gaps.add(gap)
            }
        }

        if (sick[0] > 0) gaps.add(sick[0])
        if (sick.last() < n - 1) gaps.add(n - 1 - sick.last())

        gaps.forEach { gap ->
            result = (result.toLong() * countWays(gap)).toInt() % mod
        }

        return result
    }

    private fun countWays(gap: Int): Long {
        val mod = 1000000007L
        var a = 1L
        var b = 1L
        for (i in 1..gap) {
            a *= i
            a %= mod
            b *= (2 * gap - i + 1)
            b %= mod
            b *= modInverse(i, mod)
            b %= mod
        }
        return b * modInverse(a, mod) % mod
    }

    private fun modInverse(a: Long, mod: Long): Long {
        return power(a, mod - 2, mod)
    }

    private fun power(x: Long, y: Long, p: Long): Long {
        var res = 1L
        var x = x % p
        var y = y
        while (y > 0) {
            if (y % 2L == 1L) res = (res * x) % p
            y = y shr 1
            x = (x * x) % p
        }
        return res
    }
}"
kotlin,compile_error,"Line 34: Char 27: error: no set method providing array access
                    passes[i] += current
                          ^
Line 40: Char 23: error: no set method providing array access
                passes[i] += i
                      ^",../questions/Hard\maximize-value-of-function-in-a-ball-passing-game\responses\Kotlin\response_kotlin_2_failed.json,"class Solution {
    fun getMaxFunctionValue(receiver: List<Int>, k: Long): Long {
        val n = receiver.size
        var max = 0L

        // Precompute the total passes to each player
        val passes = Array(n) { 0L }
        for (i in receiver.indices) {
            var current = i
            var count = k

            // Use a map to detect loops and their entry point
            val visited = mutableMapOf<Int, Long>()
            visited[current] = k

            while (count > 0) {
                current = receiver[current]
                if (visited.containsKey(current)) {
                    val loopStart = visited[current]!!
                    val loopLength = loopStart - count + 1
                    val totalLoops = (count - 1) / loopLength
                    val remainder = (count - 1) % loopLength

                    // Add the loop contributions
                    for (j in 0 until totalLoops) {
                        passes[i] += loopLength * (n - 1) - (loopLength * (loopLength - 1) / 2)
                    }

                    // Add the remainder contributions
                    passes[i] += remainder * (n - 1) - (remainder * (remainder - 1) / 2)
                    break
                } else {
                    visited[current] = count - 1
                    passes[i] += current
                    count--
                }
            }

            if (visited.size == k.toInt()) {
                passes[i] += i
            }

            max = maxOf(max, passes[i])
        }

        return max
    }
}"
kotlin,compile_error,"Line 4: Char 23: error: operator '==' cannot be applied to 'Long' and 'Int'
        if (s == t && k % 2 == 0) return 1
                      ^
Line 5: Char 23: error: operator '==' cannot be applied to 'Long' and 'Int'
        if (s != t && k % 2 == 1) return 0
                      ^",../questions/Hard\string-transformation\responses\Kotlin\response_kotlin_2_failed.json,"class Solution {
    fun numberOfWays(s: String, t: String, k: Long): Int {
        val mod = 1000000007
        if (s == t && k % 2 == 0) return 1
        if (s != t && k % 2 == 1) return 0
        if (k == 1L) return 0
        var ways = 0
        val n = s.length
        for (i in 1 until n) {
            if (s.substring(i) + s.substring(0, i) == t || s == t) ways++
        }
        if (k == 2L) return ways
        if (s == t) ways++ // For no change at all, applicable only when s == t
        return (ways % mod).toInt()
    }
}"
kotlin,compile_error,"Line 37: Char 39: error: type mismatch: inferred type is Long but Int was expected
                productMatrix[i][j] = (excludeCurrent * modInverse(currentVal, mod)) % mod
                                      ^",../questions/Medium\construct-product-matrix\responses\Kotlin\response_kotlin_1_failed.json,"class Solution {
    fun constructProductMatrix(grid: Array<IntArray>): Array<IntArray> {
        val n = grid.size
        val m = grid[0].size
        val mod = 12345

        // Initialize the product matrix with 1s
        val productMatrix = Array(n) { IntArray(m) { 1 } }
        
        // Calculate row and column products excluding the current element
        val rowProducts = Array(n) { 1 }
        val colProducts = IntArray(m) { 1 }

        // Calculate row products
        for (i in 0 until n) {
            var product = 1
            for (j in 0 until m) {
                product = (product * grid[i][j]) % mod
            }
            rowProducts[i] = product
        }

        // Calculate column products
        for (j in 0 until m) {
            var product = 1
            for (i in 0 until n) {
                product = (product * grid[i][j]) % mod
            }
            colProducts[j] = product
        }

        // Fill the productMatrix
        for (i in 0 until n) {
            for (j in 0 until m) {
                val excludeCurrent = (rowProducts[i] * colProducts[j]) % mod
                val currentVal = grid[i][j]
                productMatrix[i][j] = (excludeCurrent * modInverse(currentVal, mod)) % mod
            }
        }

        return productMatrix
    }

    private fun modInverse(a: Int, mod: Int): Long {
        // Assuming 'a' and 'mod' are coprime, we can use Fermat's Little Theorem
        // a^(mod-2) % mod is the modular inverse when mod is a prime
        return power(a.toLong(), mod - 2, mod.toLong())
    }

    private fun power(x: Long, y: Int, p: Long): Long {
        var x = x % p
        var y = y
        var res: Long = 1
        while (y > 0) {
            if (y and 1 != 0) res = (res * x) % p
            y = y shr 1 // y = y/2
            x = (x * x) % p
        }
        return res
    }
}"
kotlin,compile_error,"Line 21: Char 17: error: operator '==' cannot be applied to 'Long' and 'Int'
            if (fullCycles % 2 == 1 && bit % x == 0) sum += (1L shl (bit - 1))
                ^",../questions/Medium\maximum-number-that-sum-of-the-prices-is-less-than-or-equal-to-k\responses\Kotlin\response_kotlin_1_failed.json,"class Solution {
    fun findMaximumNumber(k: Long, x: Int): Long {
        var left = 1L
        var right = 1L
        while (getSum(right, x) <= k) right *= 2
        while (left < right) {
            val mid = left + (right - left) / 2
            if (getSum(mid, x) <= k) left = mid + 1
            else right = mid
        }
        return left - 1
    }

    private fun getSum(n: Long, x: Int): Long {
        var sum = 0L
        var bit = 1
        while (bit <= 64) {
            val fullCycles = n / (1L shl bit)
            val partialCycle = n % (1L shl bit) - (1L shl (bit - 1)) + 1
            sum += (fullCycles / 2) * (1L shl (bit - 1))
            if (fullCycles % 2 == 1 && bit % x == 0) sum += (1L shl (bit - 1))
            if (partialCycle > 0 && bit % x == 0) sum += partialCycle
            bit++
        }
        return sum
    }
}"
kotlin,compile_error,"Line 3: Char 29: error: unresolved reference. None of the following candidates is applicable because of receiver type mismatch: 
public inline fun <T, K> Array<out TypeVariable(T)>.groupingBy(crossinline keySelector: (TypeVariable(T)) -> TypeVariable(K)): Grouping<TypeVariable(T), TypeVariable(K)> defined in kotlin.collections
public inline fun <K> CharSequence.groupingBy(crossinline keySelector: (Char) -> TypeVariable(K)): Grouping<Char, TypeVariable(K)> defined in kotlin.text
public inline fun <T, K> Iterable<TypeVariable(T)>.groupingBy(crossinline keySelector: (TypeVariable(T)) -> TypeVariable(K)): Grouping<TypeVariable(T), TypeVariable(K)> defined in kotlin.collections
public inline fun <T, K> Sequence<TypeVariable(T)>.groupingBy(crossinline keySelector: (TypeVariable(T)) -> TypeVariable(K)): Grouping<TypeVariable(T), TypeVariable(K)> defined in kotlin.sequences
        val countMap = nums.groupingBy { it }.eachCount()
                            ^
Line 3: Char 42: error: unresolved reference: it
        val countMap = nums.groupingBy { it }.eachCount()
                                         ^
Line 4: Char 41: error: unresolved reference: it
        val maxCount = countMap.maxOf { it.value }
                                        ^
Line 7: Char 43: error: overload resolution ambiguity: 
public final operator fun plus(other: Byte): Int defined in kotlin.Int
public final operator fun plus(other: Double): Double defined in kotlin.Int
public final operator fun plus(other: Float): Float defined in kotlin.Int
public final operator fun plus(other: Int): Int defined in kotlin.Int
public final operator fun plus(other: Long): Long defined in kotlin.Int
public final operator fun plus(other: Short): Int defined in kotlin.Int
        return maxOf(maxCount, (nums.size + uniqueValuesCount - 1) / uniqueValuesCount)
                                          ^",../questions/Medium\minimum-number-of-groups-to-create-a-valid-assignment\responses\Kotlin\response_kotlin_0_failed.json,"class Solution {
    fun minGroupsForValidAssignment(nums: IntArray): Int {
        val countMap = nums.groupingBy { it }.eachCount()
        val maxCount = countMap.maxOf { it.value }
        val uniqueValuesCount = countMap.keys.size

        return maxOf(maxCount, (nums.size + uniqueValuesCount - 1) / uniqueValuesCount)
    }
}"
kotlin,compile_error,"Line 3: Char 28: error: unresolved reference. None of the following candidates is applicable because of receiver type mismatch: 
public inline fun <T, K> Array<out TypeVariable(T)>.groupingBy(crossinline keySelector: (TypeVariable(T)) -> TypeVariable(K)): Grouping<TypeVariable(T), TypeVariable(K)> defined in kotlin.collections
public inline fun <K> CharSequence.groupingBy(crossinline keySelector: (Char) -> TypeVariable(K)): Grouping<Char, TypeVariable(K)> defined in kotlin.text
public inline fun <T, K> Iterable<TypeVariable(T)>.groupingBy(crossinline keySelector: (TypeVariable(T)) -> TypeVariable(K)): Grouping<TypeVariable(T), TypeVariable(K)> defined in kotlin.collections
public inline fun <T, K> Sequence<TypeVariable(T)>.groupingBy(crossinline keySelector: (TypeVariable(T)) -> TypeVariable(K)): Grouping<TypeVariable(T), TypeVariable(K)> defined in kotlin.sequences
        val freqMap = nums.groupingBy { it }.eachCount()
                           ^
Line 3: Char 41: error: unresolved reference: it
        val freqMap = nums.groupingBy { it }.eachCount()
                                        ^",../questions/Medium\minimum-number-of-operations-to-make-array-empty\responses\Kotlin\response_kotlin_0_failed.json,"class Solution {
    fun minOperations(nums: IntArray): Int {
        val freqMap = nums.groupingBy { it }.eachCount()
        var operations = 0
        var leftovers = 0

        for (count in freqMap.values) {
            operations += count / 3
            leftovers += count % 3
        }

        return if (leftovers % 2 == 0) operations + leftovers / 2 else -1
    }
}"
